unit table cands ['0x23d84'] colony cands ['0x26986']
n=126 t=176 u1 x=36 y=29 ord=2 holds=1 cargo=130000 amt=[40, 24, 255, 0, 0, 0] | SD=124 VC=100 IS=212 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=132 t=184 u1 x=36 y=29 ord=2 holds=1 cargo=130000 amt=[40, 24, 255, 0, 0, 0] | SD=124 VC=100 IS=212 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=138 t=193 u1 x=39 y=28 ord=2 holds=2 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=155 VC=0 IS=173 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=144 t=201 u1 x=39 y=28 ord=2 holds=2 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=155 VC=0 IS=173 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=150 t=209 u1 x=39 y=28 ord=2 holds=2 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=155 VC=0 IS=173 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=156 t=218 u1 x=39 y=28 ord=2 holds=2 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=155 VC=0 IS=173 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=162 t=226 u1 x=39 y=28 ord=2 holds=2 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=155 VC=0 IS=173 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 2, 19, 19, 9, 1, 8, 17]
n=168 t=235 u1 x=39 y=28 ord=2 holds=2 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=186 VC=6 IS=134 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=174 t=243 u1 x=35 y=29 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=186 VC=6 IS=234 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=180 t=251 u1 x=35 y=29 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=186 VC=6 IS=234 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
