unit table ['0x23d84'] colony table ['0x26986']
n=228 t=317 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=234 t=325 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=240 t=333 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=246 t=342 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=252 t=350 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=258 t=358 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=264 t=366 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=270 t=375 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=276 t=384 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=282 t=392 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=288 t=400 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=294 t=408 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=300 t=416 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=306 t=425 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=312 t=433 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=318 t=442 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=324 t=450 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 10, 1, 8, 17]
n=330 t=458 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=336 t=467 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=342 t=475 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=348 t=483 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=354 t=492 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 8, 1, 8, 17]
n=360 t=500 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 8, 1, 8, 17]
n=366 t=509 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 8, 1, 8, 17]
n=372 t=517 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 8, 1, 8, 17]
n=378 t=525 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 8, 1, 8, 17]
n=384 t=533 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 8, 1, 8, 17]
n=390 t=542 u1 x=36 y=29 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=396 t=550 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 2, 8, 17]
n=402 t=559 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 2, 8, 17]
n=408 t=567 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 2, 8, 17]
n=414 t=575 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 2, 8, 17]
n=420 t=583 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 2, 8, 17]
n=426 t=592 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 2, 8, 17]
n=432 t=600 u1 x=39 y=28 ord=2 holds=2 cargo=330000 amt=[100, 5, 0, 0, 0, 0] | Isabella=0 Veracruz=60 | w84BC=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 2, 8, 17]
